mz,intensity
414.8483972,2501.230469
414.8495309,2325.951172
414.8506647,1580.315308
414.8517984,0
414.8529322,0
414.854066,0
414.8551997,0
414.8597348,0
414.8608686,0
414.8620024,0
414.8631362,0
414.86427,799.4296265
414.8654038,1951.951416
414.8665376,2927.374756
414.8676714,3137.73291
414.8688053,2460.030518
414.8699391,1336.762695
414.8710729,0
414.8722068,0
414.8733406,0
414.8744744,0
414.8801437,0
414.8812776,0
414.8824115,0
414.8835453,0
414.8846792,972.4026489
414.8858131,1789.372192
414.886947,2135.536621
414.8880809,1784.395752
414.8892148,1017.909424
414.8903487,0
414.8914826,0
414.8926166,0
414.8937505,0
414.8948844,1408.699097
414.8960183,2214.679932
414.8971523,2583.673584
414.8982862,2194.537598
414.8994202,1235.115723
414.9005542,0
414.9016882,0
414.9028221,0
414.9039561,0
415.0287205,0
415.029855,0
415.0309895,0
415.032124,0
415.0332585,0
415.034393,1687.044067
415.0355275,6385.591309
415.036662,11870.00781
415.0377965,16849.60547
415.038931,14992.7334
415.0400655,9417.708984
415.0412001,4321.633789
415.0423346,1258.632324
415.0434691,541.6721802
415.0446037,0
415.0457382,0
415.0468728,0
415.0480073,991.4678955
415.0491419,2190.194336
415.0502764,2924.471924
415.051411,2482.004883
415.0525456,1165.737183
415.0536802,0
415.0548148,0
415.0559494,0
415.057084,0
415.0831808,0
415.0843155,0
415.0854503,0
415.086585,0
415.0877197,1144.828613
415.0888544,1881.824585
415.0899891,2217.207764
415.0911239,1894.029297
415.0922586,1060.818115
415.0933939,0
415.0945286,0
415.0956634,0
415.0967981,0
415.8285476,0
415.8296854,0
415.8308232,0
415.8319609,0
415.8330987,1570.853882
415.8342365,2472.494629
415.8353743,2721.367188
415.8365121,2176.807617
415.8376499,1198.506348
415.8387878,0
415.8399256,0
415.8410634,0
415.8422012,0
416.0300043,0
416.0311429,0
416.0322814,0
416.03342,0
416.0345586,1386.159912
416.0356973,3440.671143
416.0368359,5459.624023
416.0379745,5970.797363
416.0391131,4547.260254
416.0402517,2281.488525
416.0413904,710.6347046
416.0425291,0
416.0436678,0
416.0448064,0
416.0459451,0
416.2065413,0
416.2076807,0
416.20882,0
416.2099593,0
416.2110986,908.6358032
416.212238,1794.132446
416.2133773,2356.093506
416.2145166,2219.123535
416.215656,1438.796265
416.2167972,0
416.2179366,0
416.219076,0
416.2202153,0
418.8681381,0
418.8692884,0
418.8704386,0
418.8715889,0
418.8727392,1649.790039
418.8738894,2312.217529
418.8750397,2507.967285
418.87619,2126.882813
418.8773403,1349.36377
418.8784909,0
418.8796412,0
418.8807915,0
418.8819418,0
419.3067303,0
419.3078824,0
419.3090345,0
419.3101865,0
419.3113386,0
419.3124907,1440.308105
419.3136428,9105.516602
419.3147949,26213.44336
419.315947,44013.98047
419.3170991,55593.39453
419.3182512,44014.69922
419.3194033,26676.24609
419.3205554,11046.50391
419.3217076,3779.893066
419.3228597,486.4685364
419.3240125,0
419.3251647,0
419.3263168,0
419.327469,0
420.3108263,0
420.3119825,0
420.3131387,0
420.3142949,0
420.3154511,150.3315735
420.3166074,2360.96875
420.3177636,7498.089355
420.3189198,13072.91309
420.3200761,17371.01563
420.3212323,14211.10254
420.3223886,8665.287109
420.3235448,3388.328613
420.3247011,893.5521851
420.3258577,0
420.3270139,0
420.3281702,0
420.3293265,0
420.7551611,0
420.7563191,0
420.7574772,0
420.7586352,0
420.7597933,722.6320801
420.7609513,1826.1521
420.7621094,3872.881348
420.7632675,6387.557617
420.7644255,4283.208984
420.7655836,2683.436523
420.7667417,1014.126526
420.7679006,0
420.7690587,0
420.7702168,0
420.7713749,0
421.8249087,0
421.8260712,0
421.8272336,0
421.8283961,0
421.8295586,557.133606
421.8307211,1549.549194
421.8318836,4458.442871
421.833046,7512.712891
421.8342085,9371.986328
421.835371,7384.796387
421.8365335,4354.728027
421.837696,1337.606079
421.8388586,364.6090088
421.8400211,0
421.8411836,0
421.8423461,0
421.8435087,0
421.8458337,0
421.8469963,0
421.8481588,0
421.8493214,0
421.850484,1797.961792
421.8516465,3138.006836
421.8528091,3773.769531
421.8539717,3323.618896
421.8551343,2090.185303
421.8562968,841.1901855
421.8574601,0
421.8586227,0
421.8597853,0
421.8609479,0
422.8159035,0
422.81707,0
422.8182366,0
422.8194032,0
422.8205697,922.8852539
422.8217363,2320.370361
422.8229029,3437.280029
422.8240695,3436.90918
422.8252361,2341.741699
422.8264027,994.3239136
422.8275707,0
422.8287373,0
422.8299039,0
422.8310706,0
424.8130977,0
424.8142726,0
424.8154474,0
424.8166223,0
424.8177971,1133.47522
424.818972,2229.472656
424.8201468,2640.340576
424.8213217,2028.555176
424.8224966,882.2012329
424.8236724,0
424.8248473,0
424.8260221,0
424.827197,0
426.1296124,0
426.1307927,0
426.1319731,0
426.1331534,0
426.1343337,773.2360229
426.135514,3994.908203
426.1366943,8904.222656
426.1378746,14150.33008
426.139055,15221.98633
426.1402353,10506.30371
426.1414157,5636.120117
426.142596,1885.848267
